disease_name,host_candidate_rows,human_host_candidate_rows,livestock_host_candidate_rows,bird_host_candidate_rows,rodent_host_candidate_rows,bat_host_candidate_rows,roster_rows,roster_host_rows,roster_vector_rows,roster_vectors_with_host_vector_evidence,roster_vectors_with_competence,roster_vectors_with_human_biting,roster_taxonomy_caution_rows,disease_vector_rows,disease_vector_confirmed_rows,disease_vector_probable_rows,disease_vector_candidate_rows,vector_competence_joined_rows,vector_competence_transmission_yes_rows,vector_competence_natural_infection_yes_rows,genbank_country_rows,genbank_distinct_countries_or_territories,genbank_records_with_country,genbank_unmatched_map_rows,genbank_unmatched_records,who_don_focal_country_rows,who_don_distinct_records,who_don_distinct_countries,who_don_high_confidence_rows,who_don_manual_review_rows,host_role_evidence_rows,host_role_evidence_substantive_rows,vector_role_evidence_rows,vector_role_evidence_substantive_rows,host_role_assignment_rows,host_role_substantive_assignment_rows,vector_role_assignment_rows,vector_role_substantive_assignment_rows,has_host_candidates,has_vector_rows,has_competence_joined,has_genbank_country_evidence,has_who_don_focal_evidence,has_substantive_host_role_evidence,has_substantive_vector_role_evidence,has_any_substantive_role_evidence,role_assignment_status
Louse-borne typhus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,no_role_evidence_or_assignment
Lujo hemorrhagic fever,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,no_role_evidence_or_assignment
Lumpy skin disease,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,58,2676,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,no_role_evidence_or_assignment
Machupo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,no_role_evidence_or_assignment
Malaria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,2,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,no_role_evidence_or_assignment
Marburg virus disease,9,1,0,0,3,4,9,9,0,0,0,0,0,0,0,0,0,0,0,0,16,16,358,0,0,67,32,17,1,67,3,3,0,0,3,3,0,0,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,reviewed_assignment_present
Mayaro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,182,1,28,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,no_role_evidence_or_assignment
Measles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,19,47,2,57,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,no_role_evidence_or_assignment
Menangle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,no_role_evidence_or_assignment
Meningococcal disease,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,98,40,6,137,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,no_role_evidence_or_assignment
Microcephaly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1,0,4,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,no_role_evidence_or_assignment
Middle East Respiratory Syndrome (MERS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280,184,22,1,279,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,no_role_evidence_or_assignment
Mpox (Monkeypox),20,1,0,0,4,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,59,59,11748,0,0,3,3,3,2,3,5,5,0,0,3,3,0,0,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,reviewed_assignment_present
Murine typhus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,21,2307,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,no_role_evidence_or_assignment
Murray Valley encephalitis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,no_role_evidence_or_assignment
Nipah virus disease,16,1,4,0,1,7,16,16,0,0,0,0,0,0,0,0,0,0,0,0,8,8,372,0,0,6,3,4,0,6,7,7,0,0,7,7,0,0,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,reviewed_assignment_present
O'nyong-nyong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,no_role_evidence_or_assignment
Omsk HF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,no_role_evidence_or_assignment
Pertussis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,no_role_evidence_or_assignment
Pneumonia of unknown cause,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,no_role_evidence_or_assignment
Poliomyelitis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,16,16,5,21,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,no_role_evidence_or_assignment
Powassan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,no_role_evidence_or_assignment
Prospect Hill,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,no_role_evidence_or_assignment
Q fever,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,61,11284,2,448,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,no_role_evidence_or_assignment
Rabies,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137,137,29033,7,85,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,no_role_evidence_or_assignment
Reovirus infection (usually mild),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,2227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,no_role_evidence_or_assignment
Respiratory illness,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,no_role_evidence_or_assignment
Rickettsia conorii indica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,no_role_evidence_or_assignment
Rocio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,no_role_evidence_or_assignment
Ross River virus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,no_role_evidence_or_assignment
Salmonellosis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,2,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,no_role_evidence_or_assignment
Scarlet fever,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,5,0,5,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,no_role_evidence_or_assignment
Schmallenberg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,18,509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,no_role_evidence_or_assignment
Scrub typhus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,19,7706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,no_role_evidence_or_assignment
Severe Acute Respiratory Syndrome (SARS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,35,19,0,73,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,no_role_evidence_or_assignment
Severe acute hepatitis of unknown aetiology,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,0,3,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,no_role_evidence_or_assignment
Shigellosis (bacillary dysentery),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4,0,4,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,no_role_evidence_or_assignment
St. Louis encephalitis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,no_role_evidence_or_assignment
Sudan virus disease (Ebola virus disease),1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,4,150,0,0,11,7,2,3,9,2,2,0,0,1,1,0,0,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,reviewed_assignment_present
Suspected fungal meningitis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,0,3,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,no_role_evidence_or_assignment
Tularemia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,no_role_evidence_or_assignment
Typhoid fever,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,6,3,8,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,no_role_evidence_or_assignment
Undiagnosed febrile illness,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,no_role_evidence_or_assignment
Unknown illness,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,2,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,no_role_evidence_or_assignment
Vaccine-derived poliovirus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,21,19,9,21,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,no_role_evidence_or_assignment
WEE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,no_role_evidence_or_assignment
Western equine encephalitis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,2,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,no_role_evidence_or_assignment
Wild poliovirus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,7,11,0,12,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,no_role_evidence_or_assignment
Zoonotic malaria (P. knowlesi),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,2344,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,no_role_evidence_or_assignment
